,hostname,coordenadas,distancia a Kepler-220
182,HD 140901,"[25.588796197373945, 16.700870305108868, 39.22732906509921]",546.0133363021387
195,Kapteyn,"[-8.873512847878812, -1.8928158697933208, 9.05953152098039]",546.128665941643
36,GJ 273,"[1.6319147812677608, -0.6544409950558719, 19.223965695587548]",546.1753098599531
92,Gl 49,"[7.683847800973884, 27.393536687215455, 14.908227710698338]",546.3218505050105
90,GJ 96,"[16.779662098142907, 23.470106332733955, 26.087344471187706]",546.3433767140035
93,Gl 51,"[7.753741896771314, 27.329349744700632, 14.872885077502392]",546.4093297842654
205,Kepler-108,"[-723.2409417948596, 330.4995617112324, 766.2223471726141]",547.4104415264508
18,GJ 1002,"[-0.060729535216775106, -2.0749343894050085, 15.669766824518431]",547.7550818963426
5,55 Cnc,"[14.205403864667826, -13.314979816477555, 36.11474074310067]",547.7687760578312
6,55 Cnc B,"[14.07179932242762, -13.199474710591192, 35.809148893680685]",547.8312135991929
89,GJ 9066,"[1.647798965313961, 2.847315770845289, 14.199351593738564]",548.5837485098098
21,GJ 1148,"[1.9409547077182574, -24.296765422045905, 26.36636306066092]",548.7012967234293
19,GJ 1061,"[-6.79141394999103, -4.933662757542275, 8.537838744821277]",548.7431782316033
3,47 UMa,"[7.615941302716224, -28.157067431121536, 34.23637378110333]",548.8720146033261
83,GJ 876,"[1.0777961205741644, -3.5979504745034263, 14.77101354114989]",549.5642036736109
138,HD 238090,"[-2.1782943061239086, -40.36930599633935, 28.851779622564766]",549.5758809961229
360,tau Cet,"[-1.414026233093559, -2.8979890867782805, 11.294627049613696]",549.9811933507617
348,YZ Cet,"[-1.1009070037128204, -3.3616556628134835, 11.572808787476502]",550.1376763573198
353,eps Eri,"[-1.3742906734890359, -1.0270375961242393, 10.29854640361854]",550.1646465623371
346,Wolf 1061,"[2.845536092718224, 1.1743081520690783, 13.695608549434473]",550.1999664013302
129,HD 192310,"[10.82786148824385, -7.256415910492828, 25.544428719665795]",550.3446031778589
318,Ross 128,"[0.008198449105506073, -0.15324245254507737, 10.99992996963937]",550.4046004707925
26,GJ 15 A,"[0.6490396898706884, 8.044555269718785, 8.350234057036252]",550.4695861582879
27,LHS 4,"[0.6505595054906093, 8.042239441748539, 8.346815501452713]",550.4735437025416
108,WD 1620-391,"[24.294483688417987, 10.871813004325038, 32.60032704497097]",550.6732813307694
107,HD 147513,"[24.284913479017263, 10.809399963712902, 32.600863320221336]",550.6816278577659
103,HD 136352,"[27.559512235198955, 22.766729461477453, 31.82839481356567]",550.7010505982763
341,Teegarden's Star,"[2.483346461922978, 2.6381081826636783, 11.951237653771654]",550.724203100835
11,AU Mic,"[12.38681493179016, -10.87868829387281, 27.06905075359036]",551.5088790896756
22,GJ 1151,"[0.7754819966052363, -19.567456773963432, 17.40280541759399]",552.2753395377175
54,GJ 411,"[2.6598005446439745, -10.538085281980946, 14.97451061079084]",552.4916365832322
70,GJ 667 C,"[13.32831551566016, 2.4098972048253664, 19.345057469054975]",553.4880051090172
69,HIP 84709,"[12.823152118274669, 2.32170991569665, 18.618091657916043]",553.629344932085
220,Kepler-1350,"[-767.3826496516734, 253.05392177859153, 761.9953496256566]",553.8050282915433
97,HAT-P-7,"[-764.4378856848168, 312.6960311161687, 744.4572028085794]",554.349551383353
85,GJ 887,"[1.464567464520041, -6.101656085480073, 8.685313798739022]",554.6020705424734
